gene,log2FC,pvalue,negLog10P,significance,|log2FC|
ZNF415,0.292039777410692,0.0663762314587835,1.17798740849739,NS,0.292039777410692
OR5L2,0.291841234527538,0.0033926640390766,2.46945914453972,NS,0.291841234527538
LOC126536,0.291725467516117,0.0825553833490999,1.08325460159466,NS,0.291725467516117
C14orf105,0.291607937877287,0.12743774404255,0.894701925205543,NS,0.291607937877287
LST-3TM12,-0.291421379921477,4.45537074522788E-05,4.35111615113164,NS,0.291421379921477
OR10K2,0.291366576970391,0.0945022345918703,1.02455792207862,NS,0.291366576970391
KRT6B,0.291084958289302,0.00251115183966843,2.60012702638049,NS,0.291084958289302
DPY19L2P1,-0.290794719276522,0.238089976767367,0.623258887359716,NS,0.290794719276522
TTC32,-0.290567283835224,0.143415157339381,0.84340494629039,NS,0.290567283835224
MIR96,0.290561023045682,0.192234578348249,0.716168490574119,NS,0.290561023045682
GREB1L,-0.29052439124473,6.37604361364222E-07,6.19544872092509,NS,0.29052439124473
PDZD9,0.290049758380456,0.207000189547282,0.6840292568653,NS,0.290049758380456
AMTN,0.290011600385451,0.277667442823919,0.556475039338058,NS,0.290011600385451
FLJ45825,-0.289798007919075,0.0317221233868063,1.49863774997019,NS,0.289798007919075
PIGA,0.289285197243784,0.315943713020561,0.500390282261203,NS,0.289285197243784
ZNF487P,0.289256472433669,0.164412821948922,0.784064316452143,NS,0.289256472433669
PARP9,0.289076812910779,0.286045479072439,0.543564911836117,NS,0.289076812910779
TRIM48,0.288804347766465,0.119753004034761,0.921713583388503,NS,0.288804347766465
PSG2,0.287845299204192,0.25577656990223,0.592139241046644,NS,0.287845299204192
NPCDR1,-0.287803062935567,0.00652077724494392,2.18570063539199,NS,0.287803062935567
PDK4,0.28679489568606,0.260056896864269,0.5849316239873,NS,0.28679489568606
TNMD,-0.286668159466861,0.0793499353923557,1.10045342251663,NS,0.286668159466861
CIAPIN1,-0.286515135763137,0.0197476672692848,1.70448419886849,NS,0.286515135763137
SNORD25,-0.286344203938339,0.305322741587658,0.51524084660799,NS,0.286344203938339
IRAK3,0.286124539870317,0.108949130905984,0.962776229798092,NS,0.286124539870317
LGI1,0.285654856219226,0.242742371072153,0.614854410249329,NS,0.285654856219226
ANKRD36BP1,-0.285014789786126,0.0762961125234898,1.11749758986436,NS,0.285014789786126
C9orf38,0.284866395987771,0.0410791461813276,1.38637859167144,NS,0.284866395987771
RP9,-0.284247306132707,0.00512225555882266,2.29053875757049,NS,0.284247306132707
TOMM22,-0.283283853865314,0.014782946244305,1.83023900233297,NS,0.283283853865314
SNORD116-28,0.28211838811623,0.571150423146661,0.243249497114708,NS,0.28211838811623
RFESD,0.281638833818215,0.22777027227757,0.642502959046624,NS,0.281638833818215
LOC728317,-0.281574999800927,0.10232318447867,0.990025952305858,NS,0.281574999800927
C1QTNF9,0.281033265638976,0.0714245618256298,1.14615241524056,NS,0.281033265638976
CENPI,0.280827311713438,0.405521038566407,0.391986609526118,NS,0.280827311713438
GRID2,0.280455552974897,0.162120589987948,0.790161824446482,NS,0.280455552974897
LOC100132346,-0.279929975677688,0.0268694630468316,1.57074101232113,NS,0.279929975677688
GLDN,0.279779337861902,0.311185157823863,0.506981125142868,NS,0.279779337861902
TSPAN18,0.279696253343459,1.06253820772843E-13,12.9736554442355,NS,0.279696253343459
SCGN,0.279100979917206,0.229854267473214,0.638547428729579,NS,0.279100979917206
POSTN,-0.278718805516703,0.141431722685505,0.849453168742208,NS,0.278718805516703
OR2A12,0.278550218404044,0.1209786994697,0.917291088502571,NS,0.278550218404044
NEIL3,0.27832041824313,0.0710498069130312,1.1484370979859,NS,0.27832041824313
PLCL1,-0.278059877742648,0.123495562883939,0.908348646045113,NS,0.278059877742648
DBF4,-0.278039488822966,0.0706735812558051,1.15074290104091,NS,0.278039488822966
WIF1,-0.277646803809106,0.26860398356584,0.570887550759508,NS,0.277646803809106
ANKRD61,-0.277233403189621,0.138974590332985,0.857064597493655,NS,0.277233403189621
FAM160A1,-0.276628321104353,0.0920675974223938,1.03589318996257,NS,0.276628321104353
SNORD7,0.275882976363048,0.0994223792285613,1.00251584818282,NS,0.275882976363048
ACCN1,0.275857828869298,0.00590921615569684,2.22847012348972,NS,0.275857828869298
TAS2R40,0.275768655365355,0.00962516772377623,2.01659169393626,NS,0.275768655365355
TAS2R10,0.275048894699794,0.362839369018232,0.440285596970907,NS,0.275048894699794
C6orf114,0.274883735308854,0.116030732921352,0.935426964476705,NS,0.274883735308854
DDX60L,0.274699365637119,0.3468643452014,0.459840339760439,NS,0.274699365637119
C17orf78,0.274633137246766,0.181692091295538,0.740663976277319,NS,0.274633137246766
C1orf146,0.274441962779672,0.171824113983647,0.764915886866044,NS,0.274441962779672
ANGPTL1,-0.274097144246246,0.193428712843627,0.713479058153839,NS,0.274097144246246
LYG1,0.273398981772879,4.64746636208673E-22,21.3327837449263,NS,0.273398981772879
IRF1,0.273209014322677,0.388697871188451,0.410387837896237,NS,0.273209014322677
LRRC70,0.272562997218899,0.186949793978515,0.728275009108549,NS,0.272562997218899
SLC27A2,0.272194085258127,0.0116082039585081,1.93523496986077,NS,0.272194085258127
CTAGE4,0.271907276272831,0.499955266582814,0.301068852354681,NS,0.271907276272831
STX19,0.271767699604805,0.177396380270293,0.751055246086457,NS,0.271767699604805
LGALS2,-0.271610066660692,0.43849845898174,0.358031928539452,NS,0.271610066660692
GCRG224,0.271143088914689,0.0313535590227821,1.50371315415621,NS,0.271143088914689
C3,-0.271117297015936,0.108557783274836,0.964339033452003,NS,0.271117297015936
LOC642864,0.271042617749927,0.0181086949672245,1.74211284670169,NS,0.271042617749927
MIR21,0.270714392438105,0.364524174967416,0.438273664309527,NS,0.270714392438105
SNORD45A,0.270695653802707,0.268217025688903,0.571513657774294,NS,0.270695653802707
S100B,-0.270267063915336,0.0123324590809655,1.90895031685024,NS,0.270267063915336
KRTAP21-1,0.269409756691314,0.448851824336872,0.347897005307703,NS,0.269409756691314
CYR61,-0.269024588208283,0.333989726462235,0.47626689189916,NS,0.269024588208283
DPPA2,-0.268993588266371,6.96975159982706E-06,5.15678269977097,NS,0.268993588266371
IGHM,-0.268989345464279,0.0521213404300581,1.28298442385178,NS,0.268989345464279
SLC10A6,0.268842294855406,0.179483184669994,0.745976233142003,NS,0.268842294855406
C12orf29,-0.268802961941279,0.117990904264366,0.928151470490903,NS,0.268802961941279
STATH,0.268544534205313,0.269438959010374,0.569539608093612,NS,0.268544534205313
LOC100508181,0.268269894802927,0.245917552935571,0.609210471379244,NS,0.268269894802927
FLJ44674,0.267324238137043,0.0707058646908577,1.15054456219682,NS,0.267324238137043
ZNF847P,-0.26715535974954,0.014497633391988,1.83870288663991,NS,0.26715535974954
BAK1,-0.267036252596858,0.158533777120647,0.799878193040596,NS,0.267036252596858
SLAMF7,-0.266856620616958,0.0190093550091882,1.72103261857394,NS,0.266856620616958
RNF212,0.266564217574687,0.0934451805404767,1.02944309255857,NS,0.266564217574687
OR52B6,0.266438030747066,0.069988457858527,1.15497357572377,NS,0.266438030747066
MMRN1,0.266270906120599,0.284253562568618,0.546294083564779,NS,0.266270906120599
CCR1,-0.266178319723238,0.0115785647499,1.93634527133653,NS,0.266178319723238
PLSCR1,0.265957474190655,0.34646768446357,0.460337266430639,NS,0.265957474190655
HSPA7,-0.265950233539172,0.151920030978609,0.818384959712339,NS,0.265950233539172
CST11,0.265624468572096,0.155160241172458,0.809219554028245,NS,0.265624468572096
LOC157740,0.265528931244719,0.393708017592459,0.404825741011882,NS,0.265528931244719
CTSL3,0.264420921155762,0.00573996419609562,2.24109081657182,NS,0.264420921155762
C3orf57,0.264256806533531,0.27915019185818,0.55416206932557,NS,0.264256806533531
OR5L1,0.264183145740029,0.480439453367707,0.318361335831295,NS,0.264183145740029
HSPB3,0.264134314700021,0.0723611500694822,1.14049453931277,NS,0.264134314700021
OR5D16,0.263873091451652,0.0997621137960923,1.00103435744197,NS,0.263873091451652
OR10Z1,0.2637091137436,0.117800447189608,0.928853060893482,NS,0.2637091137436
SCN10A,0.262988690017283,0.166131570473994,0.779547829440212,NS,0.262988690017283
IMMP2L,-0.262969647657896,0.0106207850161918,1.9738433819739,NS,0.262969647657896
FAM35A,0.262733634246507,0.221299353949809,0.655019853928333,NS,0.262733634246507
TCTEX1D2,-0.262187095242205,0.00886636563579699,2.05225436300569,NS,0.262187095242205
GPCPD1,-0.26216377471537,0.108531239315796,0.964445237762647,NS,0.26216377471537
C1orf61,0.26184154761704,0.15874435009162,0.799301722840383,NS,0.26184154761704
PRKG1,-0.26165743894854,6.4257467288609E-05,4.19207639618659,NS,0.26165743894854
SLC5A4,0.261569313900435,0.0367318891149645,1.43495673538716,NS,0.261569313900435
ZNF29P,0.261025793696915,0.357051511185655,0.447269124476337,NS,0.261025793696915
HTN1,0.260889097451643,0.202710305837567,0.693124171116512,NS,0.260889097451643
FREM3,0.260848490301326,0.211729563535602,0.674218497748328,NS,0.260848490301326
FAM135A,0.260835596042984,0.0262923784529794,1.58017012510391,NS,0.260835596042984
VDAC3,-0.260822029514233,0.118440301695924,0.926500495028871,NS,0.260822029514233
UBXN10,-0.260517900085269,0.318844039214668,0.49642169773075,NS,0.260517900085269
GPN3,0.260517123088846,0.163735958994556,0.785855932207253,NS,0.260517123088846
GLRX,0.260422670092565,0.0863616953057131,1.06367884092454,NS,0.260422670092565
C1orf161,0.260291306325485,1.2792492139295E-05,4.89304484122017,NS,0.260291306325485
RAG1,0.260285914544722,0.0140180893413155,1.85331117646,NS,0.260285914544722
CRY1,0.260042447102776,0.0139939803453268,1.85405874039402,NS,0.260042447102776
CYP2R1,-0.259911742958415,0.269461949658196,0.56950255225893,NS,0.259911742958415
CYP3A43,0.259754803219499,0.288651925896252,0.539625540526948,NS,0.259754803219499
GRAP,-0.259543073058797,0.119362010709708,0.923133873913165,NS,0.259543073058797
EXOG,0.259473342911277,0.212469375321428,0.672703658966082,NS,0.259473342911277
LOC348840,0.259364156332325,0.229515769461329,0.639187469800978,NS,0.259364156332325
CXorf1,0.259037750311748,0.355155805041801,0.449581082365945,NS,0.259037750311748
TNIK,-0.258778395210187,0.0439060968861959,1.35747516859203,NS,0.258778395210187
PPM1B,0.25866206436236,0.0771057162795021,1.11291342406811,NS,0.25866206436236
SYCE2,0.257730763060046,0.0930424406508253,1.03131890589694,NS,0.257730763060046
OR5D13,0.257541980870361,0.02764600016828,1.55836769367215,NS,0.257541980870361
