"gene","log2FC","negLog10P","significance"
"TJP2",-0.00175439975462055,0.00836805960187839,"NS"
"SMAD6",0.00175901400787914,0.00587432051120749,"NS"
"PDS5B",0.00176340984907375,0.0132371902469938,"NS"
"EPB41L3",-0.0017706706038596,0.00532140451874436,"NS"
"KLK10",0.00177763077887771,0.00658400759883823,"NS"
"MGMT",0.00177954195720309,0.01037158414972,"NS"
"TMUB1",0.00180267688320779,0.014145912647436,"NS"
"TFPT",-0.00180505328330183,0.0115452792567254,"NS"
"LASP1",-0.00180521948771428,0.0112864171369959,"NS"
"HIST1H4A",0.00180552420846802,0.00627890850399457,"NS"
"WDR55",0.00182159128718729,0.0084289229018729,"NS"
"GBX1",-0.00182456893845617,0.013574442890306,"NS"
"C9orf119",0.00183104208207663,0.0115055038626872,"NS"
"FLJ42102",0.00184210221463332,0.00792965073979056,"NS"
"CCDC13",-0.0018423654320967,0.0199523265268207,"NS"
"ARF3",0.00185236068007688,0.0124318095116069,"NS"
"NCRNA00282",0.00185647859643878,0.00889847154641479,"NS"
"ZNF507",-0.00186163138418238,0.0110269598395508,"NS"
"KLHL34",-0.00189075083917989,0.0126868841697644,"NS"
"PPM1M",-0.0018992565969802,0.00565575989646981,"NS"
"MLN",0.00190232979785909,0.00941619084213667,"NS"
"CACNA2D4",-0.00190434389731386,0.0153744598669154,"NS"
"MRO",0.00190632349110942,0.0155537030481925,"NS"
"AAK1",-0.00190717675019503,0.00712127017453004,"NS"
"ZNF446",0.00191029430357004,0.0090294075414601,"NS"
"MAP4K4",0.00191192895757819,0.00959136405205174,"NS"
"DLX4",0.00191716252374308,0.0140227521085852,"NS"
"OTX1",0.00192601867781983,0.00719551439438158,"NS"
"PTPN18",0.00193177185257731,0.00917462963099966,"NS"
"PLCXD3",-0.00194413309628927,0.00617346714691985,"NS"
"CXCR6",0.0019595582806633,0.00761836810448063,"NS"
"CALCB",-0.00196116492613529,0.00669860860079334,"NS"
"FAM101A",0.00196161414403706,0.0109844079848979,"NS"
"RARRES3",-0.00197568632566125,0.00645597976608543,"NS"
"PKD1P1",0.00197715417927613,0.015482173354372,"NS"
"ITLN2",-0.00198710834083016,0.00718217326615559,"NS"
"MTF2",-0.00198996068799029,0.00764711477571708,"NS"
"SLC25A17",-0.001991368933423,0.00589685184613432,"NS"
"WNT4",0.00199753218744725,0.0157388726117614,"NS"
"PRKCD",-0.00199860615289715,0.014415592253451,"NS"
