"gene","log2FC","pvalue","negLog10P","significance"
"CAPN3",0.0611030195498403,0.0698734151241629,1.15568802970497,"NS"
"FAM151B",-0.0611033153619398,0.177009494330355,0.752003438583402,"NS"
"KCNJ5",-0.0611184606833539,0.154776313609689,0.810295501377287,"NS"
"STX2",0.0611189003379005,0.0376849378883236,1.42383219618841,"NS"
"VPS37A",0.0611199266463975,0.196958167484096,0.705626005107556,"NS"
"C14orf162",0.0611274193497244,0.249746256171589,0.602501013357062,"NS"
"C14orf21",-0.0611392340969661,0.0262437878995234,1.58097348083849,"NS"
"TDRD3",0.0611406110195942,0.0480520142143127,1.3182884031291,"NS"
"MIR124-2",-0.0611690784886993,0.367169706397618,0.435133157773282,"NS"
"MBL2",0.061169971804824,0.269843923353794,0.568887357415814,"NS"
"C17orf88",-0.0612143085512042,0.0619632696690882,1.20786567351811,"NS"
"KIAA0513",0.0612193189516339,0.0126794862022104,1.89689834456673,"NS"
"LOC347411",0.0612208377995358,0.0712455853865325,1.14724204081653,"NS"
"SNORD115-21",0.0612221888437601,0.583312114169996,0.234099004090214,"NS"
"FAM75D5",-0.0612537931336947,0.270731097372674,0.56746185637697,"NS"
"RPL32P3",0.0612578714956271,0.0435900010888222,1.3606131201342,"NS"
"ATE1",0.0612600359070616,0.152975766211143,0.815377362871056,"NS"
"C4orf26",0.0612659388949144,0.251938091687716,0.598706164541937,"NS"
"MT1A",-0.0612681558014403,0.289726930445666,0.538011134757008,"NS"
"FAIM",-0.0613014638542777,0.389833899314976,0.409120398042146,"NS"
"C10orf28",-0.0613083540935604,0.207444808521027,0.68309742927985,"NS"
"OSBPL10",0.0613104807646436,0.0817275509329808,1.08763151505683,"NS"
"RAB5C",-0.0613181401841092,0.0126663818754209,1.89734742268103,"NS"
"SPAG5",-0.0613196509568258,0.286767105886644,0.542470666641689,"NS"
"C11orf72",0.0613230297268972,0.201859697527167,0.694950381842614,"NS"
"CYP2D6",0.0613577299257395,0.109399053648412,0.960986434831201,"NS"
"CRTAC1",0.0613589175643283,0.121504996299024,0.915405863460872,"NS"
"C5orf47",0.0613884318592819,0.276647037701084,0.558073975791274,"NS"
"LOC401387",0.0613993456978636,0.241558435220524,0.616977792349418,"NS"
"ESD",0.0614172506768074,0.16152102278766,0.791770944004793,"NS"
"C2orf43",0.0614273592096392,0.513060381838401,0.289831519964112,"NS"
"FRMPD3",-0.0614451608781081,0.230453216455784,0.63741722601093,"NS"
"SYT10",-0.0614605327622204,0.280558959244971,0.551975858172335,"NS"
"ZNF30",-0.0614636789449703,0.539921916594598,0.267669043221645,"NS"
"KCNN2",-0.0614724409210463,0.263640285327851,0.578988227011215,"NS"
"EIF3M",0.0614871759145554,0.125325095848439,0.901961954567035,"NS"
"IFI44",0.0614881295485892,0.428273244443434,0.368279056477891,"NS"
"HIST1H2BA",0.0614993586232017,0.389507896530042,0.409483733409489,"NS"
"RTN1",-0.061503656768207,0.350104472858859,0.455802340747358,"NS"
"DCUN1D5",-0.0615117661150055,0.242099118028144,0.616006792698737,"NS"
"KRT85",-0.0615129085316974,0.168806967275775,0.772609632432057,"NS"
"ZNF26",0.0615181681901342,0.316173624177658,0.500074362588122,"NS"
"ODZ3",0.0615201933624616,0.208271011034928,0.681371174717167,"NS"
"AQP9",0.0615222732172709,0.287921103359708,0.540726502066056,"NS"
"PPM1D",0.0615265789616959,0.245683255294957,0.609624442139431,"NS"
"CLU",0.0615405001335003,0.335671154298597,0.474085977987028,"NS"
"MAGED1",-0.0615520445922435,0.127576100341167,0.894230677198856,"NS"
"LSAMP",0.0615604385417159,0.353333332720997,0.451815390207536,"NS"
"IMPAD1",0.0615719264044039,0.0746830694053292,1.12677784125317,"NS"
"ZNF135",0.0615734972738813,0.0142974691577954,1.84474083163135,"NS"
"RSPO2",-0.061575911770046,0.0408661142901036,1.38863665474235,"NS"
"PSMA2",-0.0615810755278505,0.204176862199508,0.689993474729139,"NS"
"ENPP6",-0.0615870099296428,0.021328109357034,1.67104764113752,"NS"
"C11orf31",0.0615905604249689,0.00620695582073565,2.20712134578248,"NS"
"GPR63",0.0615977556845726,0.322689069027625,0.491215745911216,"NS"
"IL3RA",0.061598729525959,0.388484690469845,0.410626091343054,"NS"
"ICAM4",0.0616025682500916,0.34849997498156,0.457797248743507,"NS"
"SNORD109A",0.0616058274828335,0.306623855458395,0.513394059883091,"NS"
"MCART2",0.0616216219366795,0.361547090298377,0.441835129282762,"NS"
"ZBTB40",-0.061622887957911,0.163323468893069,0.78695140449531,"NS"
"FLJ32742",-0.0616374724595974,0.503527079488315,0.297977168295854,"NS"
"ATP6V0D2",0.0616394134159918,0.120966923960734,0.917333362783024,"NS"
"EIF2AK3",-0.0616585688363953,0.0200802397176303,1.69723110689442,"NS"
"OR6C6",0.0616635789176441,0.27882319097008,0.554671106860005,"NS"
