"gene","log2FC","pvalue","negLog10P","significance"
"RGR",-0.00103675949171622,0.994160332281338,0.00254356951628553,"NS"
"RBM4B",0.00104626243687767,0.992113697834266,0.00343855414370558,"NS"
"PEX10",0.00106731023002871,0.984076573924647,0.0069711065086602,"NS"
"DGAT2L6",0.00107155335105047,0.992819920760458,0.00312951737803464,"NS"
"CEBPB",-0.00107708123141936,0.985854710554066,0.00618708409931095,"NS"
"DNAJC30",-0.00107853825704041,0.983703945289429,0.00713558680555163,"NS"
"GADD45GIP1",0.00107886929943168,0.917178252397162,0.0375462515608097,"NS"
"CCDC21",-0.00108545290887685,0.987219204564489,0.00558640481482448,"NS"
"RPS26",0.0010858354543748,0.973604596750482,0.0116173843068982,"NS"
"SAR1A",-0.00108790599878672,0.991382023063628,0.00375896051161542,"NS"
"FLJ25328",0.00108900176362403,0.990030354215032,0.0043514897802284,"NS"
"TREML4",-0.00109145240462527,0.99098417996882,0.00393327851884723,"NS"
"EVC2",-0.00109316372169044,0.98811253197568,0.00519359262587796,"NS"
"LOC646513",-0.00109515258729087,0.99325024348311,0.00294131981062291,"NS"
"METTL3",-0.001097102256157,0.991222497472933,0.00382884947150916,"NS"
"EFCAB4B",-0.00109889893737147,0.9922583074278,0.0033752563865846,"NS"
"ADAMTS14",-0.00110320743133996,0.989244834333537,0.00469620886713832,"NS"
"PLCD1",0.00110370448660557,0.991212080970803,0.00383341338443225,"NS"
"NUDT11",-0.00110626158079419,0.988405534608993,0.00506483141704882,"NS"
"TLL1",0.00111998561075555,0.986917066482525,0.00571934082812673,"NS"
"SNORD21",0.00112001241360327,0.993918979312227,0.00264901627847444,"NS"
"PADI2",-0.00113435863058542,0.986884987706635,0.00573345737575812,"NS"
"CHERP",0.00114435917519984,0.967792109066313,0.0142179232512928,"NS"
"CSPP1",0.00115093677475731,0.989277667358154,0.00468179487750241,"NS"
"NFE2L2",-0.00115424219183957,0.987180566257994,0.00560340279421106,"NS"
"PRPF40B",0.00115525525752558,0.978917023858033,0.00925411882792395,"NS"
"NCCRP1",-0.00115973052988005,0.968127121304076,0.0140676132947612,"NS"
"FAM127B",-0.00116299215844196,0.988507480234572,0.00502003994433364,"NS"
"ZNF212",-0.00116753091656241,0.977173955130031,0.0100281169074091,"NS"
"AHSA1",-0.00116771719131137,0.982921377953191,0.00748121918378612,"NS"
"LAMP2",0.00117190297137126,0.979293840547221,0.00908697706214367,"NS"
"DOK7",0.00117356120127621,0.92926334345482,0.031861194077066,"NS"
"WDR48",-0.00118110385078496,0.987749554259735,0.00535315762989346,"NS"
"MSH5",-0.00118253141733771,0.98049809990336,0.0085532436099508,"NS"
"CLIC1",-0.0011836911630172,0.962473356054849,0.0166112841348039,"NS"
"ANXA7",0.00118601248625794,0.984404530719369,0.00682639612537803,"NS"
"UBE2V2",-0.0011957083987042,0.987953795622348,0.00526336591386468,"NS"
"TMEM182",0.00119751656752143,0.985933591894538,0.00615233622007063,"NS"
"FGL1",0.00120008460554782,0.986946724301339,0.00570629005216419,"NS"
"NDUFV2",-0.00120620149063866,0.958505923387977,0.0184051989186638,"NS"
"TBX3",0.00120714205385797,0.958960802841555,0.0181991440884821,"NS"
"DRG1",-0.001210315843021,0.982427865288354,0.00769932783020604,"NS"
"RFPL4B",-0.00121601617103462,0.973076406339797,0.0118530574202844,"NS"
"TMEM49",0.00121662913360421,0.993339676891028,0.00290221719041499,"NS"
"SDS",0.00122031560926827,0.990360099818234,0.00420686507055647,"NS"
"FLJ11235",0.00122401150156892,0.96404401772826,0.0159031359933783,"NS"
"CELA3B",-0.0012268177680208,0.978522666343237,0.00942910996123721,"NS"
"RSPH1",0.00123265198978073,0.987236722923255,0.00557869825988093,"NS"
"CARHSP1",-0.00124207811995625,0.974086665478045,0.0114024017820866,"NS"
"UBE2D4",0.00124500783926873,0.989170579905546,0.00472880898551223,"NS"
"ARRB1",-0.00125095781529039,0.987638555691402,0.00540196430796796,"NS"
"RGPD5",0.00126295254500874,0.969406628265013,0.0134940151382456,"NS"
"ZNF708",-0.00126542170890009,0.98710814213735,0.00563526580982038,"NS"
"LYG2",-0.00126869116784945,0.985969082741695,0.00613670311679602,"NS"
"C16orf89",0.00127169082682754,0.985987920331928,0.00612840571327424,"NS"
"C20orf111",0.00127482652009347,0.98345672134248,0.00724474717901837,"NS"
"ALPP",0.00129370259802508,0.996033686374914,0.00172597326370694,"NS"
"C1orf56",0.00129863529265384,0.979832060166512,0.00884835450449631,"NS"
"LIN7C",-0.00130503076061705,0.976510024694951,0.0103232939558985,"NS"
"CCT3",-0.00131001403912201,0.979975140293731,0.0087849412158658,"NS"
"SETBP1",-0.00131703075122447,0.990389893573957,0.00419380005604221,"NS"
"EXOSC6",-0.00132014555785975,0.931747234461088,0.0307018876109584,"NS"
"LOC100129534",0.0013274722207175,0.98193003788305,0.00791945441644894,"NS"
"NKX2-8",-0.00133933885524051,0.988994494199143,0.00480612614355529,"NS"
"SDC1",0.00134681096149869,0.954905467938124,0.0200396198140567,"NS"
"ATP1A2",-0.00134776792032332,0.994803378374226,0.0022627485259529,"NS"
"VCPIP1",0.00134967681657172,0.978898778516636,0.00926221341075426,"NS"
"LINGO3",0.00135174383096226,0.964824879158662,0.0155515062590526,"NS"
"PNLIP",-0.00136449428625818,0.980043715696513,0.00875455179492358,"NS"
"PDZD8",0.00136891929421123,0.982421144260931,0.00770229895430588,"NS"
"SCAMP5",-0.00137681583820171,0.988692036523983,0.0049389638792781,"NS"
"ENO4",0.0013782727504601,0.994120433930958,0.00256099928144139,"NS"
"ADAM15",0.00137883733443522,0.98223802769943,0.00778325601145895,"NS"
"NOP2",-0.00138616550719894,0.988858414302712,0.00486588665249621,"NS"
"DCAF12L1",0.00139253895427949,0.988947425193503,0.00482679592078309,"NS"
"SMARCD2",0.00140224909312936,0.987634771596135,0.00540362829205626,"NS"
"EMID2",-0.0014030799511433,0.981880795420148,0.00794123424325859,"NS"
"MAPKAPK5",0.00140327291694486,0.987727039516091,0.00536305704247824,"NS"
"NOVA2",0.00141940222906056,0.983859232009643,0.00706703483566316,"NS"
"ZNF324B",0.00142529912419587,0.971789995948547,0.012427576076373,"NS"
"PPP1R14D",0.00142663723190228,0.97483321383438,0.0110696822578724,"NS"
"CSDA",0.00142749184901891,0.994957945666489,0.00219527538589691,"NS"
"ZNF641",-0.00142972933062002,0.964353204183319,0.0157638721830633,"NS"
"GABRB2",0.00144391673919664,0.987655667475067,0.00539443980540579,"NS"
"CENPP",-0.00144858226277167,0.95543901152432,0.0197970300153519,"NS"
"MFSD7",-0.00145269628699474,0.982019886123021,0.00787971756330609,"NS"
"MRGPRF",0.001453119604782,0.984786496505578,0.00665791512682236,"NS"
"HNRNPA3",-0.00145624911327991,0.944111059509854,0.0249769149230223,"NS"
"KLK5",0.00147012401163238,0.950830152768323,0.0218970543594473,"NS"
"TTLL1",0.00147138144857739,0.987531072738835,0.00544923037825627,"NS"
"NINJ1",-0.00147248706869885,0.987223364362631,0.0055845748528824,"NS"
"SPATA8",-0.00147324277653493,0.989005605068985,0.00480124708468807,"NS"
