"gene","log2FC","negLog10P","significance"
"FLII",0.000651030642545791,0.0116432188393,"NS"
"GNAT2",-0.000651697105640281,0.0111190405758144,"NS"
"MRPS26",0.000656005916299662,0.0175943167657453,"NS"
"C4orf21",0.000656591414369245,0.0123902354256927,"NS"
"CCDC116",-0.000660909531608578,0.0135186268479024,"NS"
"TPRXL",0.000662203754573376,0.0157053032824875,"NS"
"POU2F2",-0.000662328181445737,0.0269224877254167,"NS"
"TBC1D12",-0.000664072885345979,0.0148667417929254,"NS"
"NUP43",0.000664189075125332,0.0143247484473484,"NS"
"PVALB",-0.000665952349345522,0.00839312057672532,"NS"
"N4BP1",0.000672250997522772,0.0156816144872219,"NS"
"C21orf7",-0.000672883886659204,0.0132816862873081,"NS"
"GJA4",-0.000675321640096538,0.013787920627482,"NS"
"SLC28A3",0.000675758295035189,0.0116621580365601,"NS"
"FLJ37453",0.000675959473129373,0.00939689006105762,"NS"
"SPDYE1",0.00067979734899648,0.0193538588156433,"NS"
"SLC19A3",-0.000680157377561219,0.00893259344844088,"NS"
"FLJ45248",0.000685421591787527,0.00926041593371066,"NS"
"E2F8",-0.000686498117359546,0.0107895695275923,"NS"
"PPIL5",0.000687902163031939,0.0125937133140235,"NS"
"NCRNA00288",0.000689073229843462,0.0140872467654952,"NS"
"KIF1A",-0.000693727339570849,0.00970427701636994,"NS"
"SMARCE1",-0.000694133475810155,0.0190935609093481,"NS"
"PPP2R2A",0.000697238315765514,0.0135577165668113,"NS"
"GPATCH4",0.000698479219668702,0.0197810928037422,"NS"
"MAP3K8",-0.000701565410645033,0.00894692998851082,"NS"
"YTHDC2",-0.000702895266890602,0.0170921496447005,"NS"
"CYB561D2",-0.000707960238051752,0.0101448171952683,"NS"
"TBC1D23",-0.000708025421225722,0.0112237636939105,"NS"
"CD33",-0.000712713271893151,0.012453657728483,"NS"
"FADD",-0.000715733269099683,0.0272806269942813,"NS"
"ZNF673",0.000717107660194172,0.00809778008406846,"NS"
"MAFG",0.000718825955456914,0.0201044415842879,"NS"
"C18orf10",0.00072027559153609,0.0159558847163905,"NS"
"KIF21B",0.00072081048695094,0.013546862938544,"NS"
"UBASH3B",-0.000722584349226896,0.016294296262559,"NS"
"CRBN",0.000722800484842079,0.0155021847004692,"NS"
"LOC100128374",-0.000722982804320482,0.0178385667729148,"NS"
"WDR65",-0.000723176184964203,0.00967356033795132,"NS"
"TMEM117",-0.000724543823879875,0.0129136244052644,"NS"
"FAM92B",-0.000726008966641212,0.0170977747990104,"NS"
"C22orf43",-0.000729433377075983,0.00836536644259215,"NS"
"FOLR2",0.000735009395895547,0.0131377266427336,"NS"
"ZSCAN5B",-0.000735605324612587,0.0063892573445213,"NS"
"VCX3B",-0.000738065750777395,0.0117446465607606,"NS"
"FRAS1",0.0007397282115853,0.0119273190732877,"NS"
"COX15",-0.000741780564649241,0.0123489926819037,"NS"
"GLRX",0.000762888184573374,0.00709331511642438,"NS"
"LMBR1L",0.000763386334265981,0.0187050444104802,"NS"
"KLHL9",-0.0007710966151937,0.0164916556946787,"NS"
"YIF1B",-0.000771567345508206,0.0313368341108285,"NS"
"FDFT1",-0.000773135701881422,0.0119325053455443,"NS"
"TOX4",-0.000773199503899757,0.0148252966804858,"NS"
"MRPL52",-0.000774238576848774,0.0113756066560854,"NS"
"RPL23AP7",0.000780650143438422,0.0321537566115865,"NS"
"FRZB",-0.000783557741987684,0.00533624332117448,"NS"
"ZNF35",-0.000784619750761939,0.0135215569861287,"NS"
"C9orf5",0.000788117829237045,0.0184760984313164,"NS"
