name,logFC,DE_class
PSMD14,0.0022078527690463368,NS
NBR1,-0.002213532028048526,NS
LOC643659,0.0022232663430770128,NS
RASL10B,0.0022278675421363303,NS
DEGS1,0.0022311392729759127,NS
IGFBP2,0.0022315471887188743,NS
LOC441046,0.002235232231916351,NS
GLTSCR2,-0.0022363457337926107,NS
TTC37,-0.0022511689673700985,NS
C20orf107,-0.002259760803344113,NS
TMED10,-0.0022682202233630377,NS
LRBA,-0.0022770896900685678,NS
FKBP11,0.002286143236412297,NS
TIRAP,-0.0022863344160755084,NS
FLJ32790,0.002295791866134378,NS
EIF1AX,-0.002298629176786804,NS
PPIAL4G,-0.002305919074776064,NS
IRF2,-0.0023070213304046128,NS
CDH7,0.0023088962054651496,NS
SCYL1,-0.0023093284522324176,NS
FAM69B,0.002314699810856302,NS
RABEPK,-0.002318149726084018,NS
MYH9,-0.002328472287868699,NS
ZFP28,-0.0023303941487249347,NS
UQCRH,-0.002332036550581673,NS
ZNF193,0.0023363695412943475,NS
EMD,0.002339250449874264,NS
SACM1L,-0.0023445053194204313,NS
SLC36A3,0.002346737788726183,NS
TNS3,0.00234753233339946,NS
TEKT4,0.0023479903786673972,NS
KIAA0125,0.0023483550402410014,NS
MS4A7,-0.0023517424624754923,NS
CPNE7,0.0023543287190561646,NS
ANAPC5,0.002355441733496555,NS
SMARCC1,0.0023595323663148093,NS
ZNF8,0.0023601503102066435,NS
MGMT,-0.002363867880920356,NS
SHMT1,0.0023654081232058477,NS
OTUD6B,-0.0023660605980651006,NS
ZNF839,-0.002366769162369442,NS
FAM134A,-0.002367685709892875,NS
FKBP9L,-0.002374036046240535,NS
MIR365-1,0.002375488752742294,NS
RSRC2,0.002376226495616418,NS
ABAT,0.0023885868346829042,NS
PNLIPRP1,0.0023928339520820074,NS
TSC22D2,0.0023936739875951574,NS
ST6GAL2,0.002396152615464775,NS
PRNP,-0.0024061728977011754,NS
NSUN4,0.002415556495317661,NS
SNORD20,-0.0024194827120596063,NS
PPAP2C,0.0024236067853173893,NS
DKK3,-0.002425599118441646,NS
MDN1,0.0024263521095049256,NS
KLHL9,0.0024379954743667387,NS
GRRP1,-0.002440243282753052,NS
EBNA1BP2,-0.0024422013489180383,NS
LMBRD2,-0.002444642873174141,NS
RPS10,-0.002446954280303615,NS
CDC5L,0.0024479279555245093,NS
TBCB,-0.0024504064747770116,NS
NRBP1,-0.0024528959541783024,NS
ADAMTS6,-0.0024563373972065206,NS
CYTH4,0.0024565223788226564,NS
EPC1,-0.0024579284308297034,NS
MARCO,-0.0024580314810755954,NS
JUP,0.002461272287992422,NS
NUDT8,0.002462041598956244,NS
P2RX4,-0.0024634702484751525,NS
C5orf27,0.0024637871471853146,NS
CPPED1,0.002465783094784735,NS
GLUD2,-0.0024721028467878936,NS
DAZ2,-0.002473341759387182,NS
ATAD3A,-0.002476557696164061,NS
NBPF1,0.0024766379249179238,NS
PRKCI,-0.002477068508248692,NS
ADSSL1,-0.0024817633433027453,NS
IFT88,-0.002482518900310149,NS
HOXC6,-0.0024939318162877644,NS
SATB1,-0.0024945790713024607,NS
